记录时间: 2025-04-11 15:51:08

当前运行的应用程序:
PID: 10384, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 10416, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 10488, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 10584, 名称: DingTalk.exe, 用户: PC-20240921UCSH\Administrator
PID: 10616, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 10644, 名称: svchost.exe, 用户: PC-20240921UCSH\Administrator
PID: 10648, 名称: svchost.exe, 用户: PC-20240921UCSH\Administrator
PID: 10708, 名称: bash.exe, 用户: PC-20240921UCSH\Administrator
PID: 10716, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 10812, 名称: ipf_helper.exe, 用户: PC-20240921UCSH\Administrator
PID: 10836, 名称: AutoModeDetect.exe, 用户: NT AUTHORITY\SYSTEM
PID: 10864, 名称: RAVBg64.exe, 用户: NT AUTHORITY\SYSTEM
PID: 10880, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 10892, 名称: taskhostw.exe, 用户: PC-20240921UCSH\Administrator
PID: 10988, 名称: SangforUDProtectEx.exe, 用户: NT AUTHORITY\SYSTEM
PID: 11000, 名称: Taskmgr.exe, 用户: PC-20240921UCSH\Administrator
PID: 11024, 名称: MoTTYnew.exe, 用户: PC-20240921UCSH\Administrator
PID: 11044, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 11152, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 11160, 名称: eaio_agent.exe, 用户: PC-20240921UCSH\Administrator
PID: 11236, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 11272, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 11304, 名称: MobaSCPRinew.exe, 用户: PC-20240921UCSH\Administrator
PID: 11308, 名称: DLPCheck.exe, 用户: None
PID: 11336, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 11340, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 11568, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 11696, 名称: svchost.exe, 用户: PC-20240921UCSH\Administrator
PID: 11804, 名称: explorer.exe, 用户: PC-20240921UCSH\Administrator
PID: 11856, 名称: StartMenuExperienceHost.exe, 用户: PC-20240921UCSH\Administrator
PID: 11928, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 11972, 名称: WeChatAppEx.exe, 用户: PC-20240921UCSH\Administrator
PID: 12084, 名称: WmiApSrv.exe, 用户: NT AUTHORITY\SYSTEM
PID: 12316, 名称: svchost.exe, 用户: PC-20240921UCSH\Administrator
PID: 12488, 名称: eaio_agent.exe, 用户: NT AUTHORITY\SYSTEM
PID: 12512, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 12616, 名称: ChsIME.exe, 用户: PC-20240921UCSH\Administrator
PID: 12620, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 12704, 名称: WWAHost.exe, 用户: PC-20240921UCSH\Administrator
PID: 12796, 名称: unsecapp.exe, 用户: PC-20240921UCSH\Administrator
PID: 12900, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 12916, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 12952, 名称: RuntimeBroker.exe, 用户: PC-20240921UCSH\Administrator
PID: 12964, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 13004, 名称: svchost.exe, 用户: PC-20240921UCSH\Administrator
PID: 13148, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 13452, 名称: RuntimeBroker.exe, 用户: PC-20240921UCSH\Administrator
PID: 13480, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 13492, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 13560, 名称: aTrustXtunnel.exe, 用户: NT AUTHORITY\SYSTEM
PID: 13596, 名称: lvnetcheck.exe, 用户: None
PID: 13616, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 13628, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 13820, 名称: ToDesk.exe, 用户: PC-20240921UCSH\Administrator
PID: 13860, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 14116, 名称: svchost.exe, 用户: PC-20240921UCSH\Administrator
PID: 14160, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 14240, 名称: UniAccessAgentTray.exe, 用户: None
PID: 14332, 名称: LvaNac.exe, 用户: None
PID: 14432, 名称: DingTalk.exe, 用户: PC-20240921UCSH\Administrator
PID: 14556, 名称: aTrustXtunnel.exe, 用户: NT AUTHORITY\SYSTEM
PID: 14716, 名称: ctfmon.exe, 用户: PC-20240921UCSH\Administrator
PID: 14784, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 14960, 名称: HipsTray.exe, 用户: PC-20240921UCSH\Administrator
PID: 14976, 名称: DLPCheck.exe, 用户: None
PID: 14988, 名称: dllhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 14996, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 15116, 名称: Tinaiat.exe, 用户: None
PID: 15180, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 15184, 名称: Tinaiat.exe, 用户: None
PID: 15196, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 15208, 名称: Clash for Windows.exe, 用户: PC-20240921UCSH\Administrator
PID: 15464, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 15480, 名称: powershell.exe, 用户: PC-20240921UCSH\Administrator
PID: 15556, 名称: svchost.exe, 用户: PC-20240921UCSH\Administrator
PID: 15696, 名称: HipsDaemon.exe, 用户: NT AUTHORITY\SYSTEM
PID: 15728, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 15736, 名称: aTrustTray.exe, 用户: PC-20240921UCSH\Administrator
PID: 15932, 名称: DLPService.exe, 用户: None
PID: 16068, 名称: ZSpaceSync.exe, 用户: PC-20240921UCSH\Administrator
PID: 16084, 名称: FnHotkeyCapsLKNumLK.exe, 用户: PC-20240921UCSH\Administrator
PID: 16164, 名称: FnHotkeyUtility.exe, 用户: PC-20240921UCSH\Administrator
PID: 16376, 名称: cmd.exe, 用户: PC-20240921UCSH\Administrator
PID: 16400, 名称: cmd.exe, 用户: PC-20240921UCSH\Administrator
PID: 16752, 名称: svchost.exe, 用户: NT AUTHORITY\NETWORK SERVICE
PID: 16996, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 17068, 名称: SunloginClient.exe, 用户: PC-20240921UCSH\Administrator
PID: 17136, 名称: DingTalk.exe, 用户: PC-20240921UCSH\Administrator
PID: 17140, 名称: usysdiag.exe, 用户: NT AUTHORITY\SYSTEM
PID: 17168, 名称: DingTalk.exe, 用户: PC-20240921UCSH\Administrator
PID: 17432, 名称: DingTalk.exe, 用户: PC-20240921UCSH\Administrator
PID: 18188, 名称: WinRAR.exe, 用户: PC-20240921UCSH\Administrator
PID: 18288, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 18340, 名称: aTrustTray.exe, 用户: PC-20240921UCSH\Administrator
PID: 18468, 名称: RuntimeBroker.exe, 用户: PC-20240921UCSH\Administrator
PID: 18544, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 18664, 名称: ms-teams.exe, 用户: PC-20240921UCSH\Administrator
PID: 18688, 名称: cygtermd.exe, 用户: PC-20240921UCSH\Administrator
PID: 18700, 名称: msedgewebview2.exe, 用户: PC-20240921UCSH\Administrator
PID: 18712, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 18716, 名称: ssh.exe, 用户: PC-20240921UCSH\Administrator
PID: 18728, 名称: msedgewebview2.exe, 用户: PC-20240921UCSH\Administrator
PID: 18904, 名称: msedgewebview2.exe, 用户: PC-20240921UCSH\Administrator
PID: 18916, 名称: msedgewebview2.exe, 用户: PC-20240921UCSH\Administrator
PID: 18968, 名称: msedgewebview2.exe, 用户: PC-20240921UCSH\Administrator
PID: 19112, 名称: msedgewebview2.exe, 用户: PC-20240921UCSH\Administrator
